开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  91: profit_max=318.00, profit_avg=156.27, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.83, tasks_avg=27.06, HV=0.4825, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  92: profit_max=318.00, profit_avg=155.76, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.73, tasks_avg=26.96, HV=0.4823, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  93: profit_max=318.00, profit_avg=158.13, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.97, tasks_avg=27.27, HV=0.4829, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  94: profit_max=318.00, profit_avg=157.85, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.80, tasks_avg=27.19, HV=0.4821, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  95: profit_max=318.00, profit_avg=157.35, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.88, tasks_avg=27.09, HV=0.4821, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  96: profit_max=318.00, profit_avg=158.77, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=164.03, tasks_avg=27.41, HV=0.4849, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  97: profit_max=318.00, profit_avg=160.31, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=165.19, tasks_avg=27.58, HV=0.4841, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  98: profit_max=318.00, profit_avg=161.32, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=165.86, tasks_avg=27.78, HV=0.4822, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  99: profit_max=318.00, profit_avg=160.20, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=164.21, tasks_avg=27.54, HV=0.4888, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen 100: profit_max=318.00, profit_avg=162.59, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=167.17, tasks_avg=27.93, HV=0.4908, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=318.0, load=0.00, att=0.00, quality=326.95

========== MODE-SDAS-DPIC Full Run 2/8 ==========
Init: HV=0.3937, feasible ratio=0.80
Gen   1: profit_max=64.00, profit_avg=26.41, load_min=0.00, att_min=0.00, quality_max=76.25, quality_avg=30.18, tasks_avg=4.84, HV=0.3976, feasible ratio=1.00, Nsub=21, fea_archive=180, inf_archive=20
Gen   2: profit_max=92.00, profit_avg=39.04, load_min=0.00, att_min=0.00, quality_max=115.76, quality_avg=45.00, tasks_avg=7.14, HV=0.5039, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   3: profit_max=118.00, profit_avg=51.11, load_min=0.00, att_min=0.00, quality_max=155.89, quality_avg=57.92, tasks_avg=9.35, HV=0.3553, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   4: profit_max=132.00, profit_avg=59.47, load_min=0.00, att_min=0.00, quality_max=155.89, quality_avg=65.99, tasks_avg=10.71, HV=0.4619, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   5: profit_max=167.00, profit_avg=68.68, load_min=0.00, att_min=0.00, quality_max=167.92, quality_avg=75.02, tasks_avg=12.18, HV=0.4457, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   6: profit_max=179.00, profit_avg=73.82, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=81.19, tasks_avg=13.18, HV=0.3880, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   7: profit_max=183.00, profit_avg=82.67, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=90.32, tasks_avg=14.80, HV=0.4458, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   8: profit_max=183.00, profit_avg=88.96, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=96.67, tasks_avg=15.78, HV=0.4582, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen   9: profit_max=197.00, profit_avg=88.12, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=95.54, tasks_avg=15.57, HV=0.4377, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen  10: profit_max=197.00, profit_avg=93.15, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=101.08, tasks_avg=16.47, HV=0.4530, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen  11: profit_max=197.00, profit_avg=93.90, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=101.30, tasks_avg=16.54, HV=0.4537, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen  12: profit_max=201.00, profit_avg=95.18, load_min=0.00, att_min=0.00, quality_max=206.35, quality_avg=102.45, tasks_avg=16.77, HV=0.4529, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen  13: profit_max=224.00, profit_avg=101.46, load_min=0.00, att_min=0.00, quality_max=226.14, quality_avg=108.82, tasks_avg=17.84, HV=0.5306, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
Gen  14: profit_max=229.00, profit_avg=106.67, load_min=0.00, att_min=0.00, quality_max=233.96, quality_avg=113.48, tasks_avg=18.74, HV=0.5283, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=20
